Communication band,Frequency [GHz],Beamwidth [deg],D_r [m],Required Eb/N0 [dB],Efficiency,D_antenna [m],Mass_communication [kg],Data Rate [bps]
VHF,0.3,60.0,0.1,8.0,0.59,1.1666666666666667,0.032906249999999984,74132.66352746598
UHF1,0.5,60.0,0.08,10.0,0.51,0.7,0.15234375,25876.622507867578
UHF2,0.8,75.0,0.1,12.0,0.57,0.35,0.624,22319.847604127906
L_band1,1.35,60.0,0.09,9.0,0.62,0.25925925925925924,0.08289349365234376,50122.333674452246
L_band2,1.7,45.0,0.075,13.0,0.55,0.27450980392156865,0.16552587890625,14142.198843223963
S_band1,2.4,30.0,0.1,11.0,0.71,0.2916666666666667,0.25316303531179557,33378.25204760728
S_band2,2.0,30.0,0.1,15.0,0.68,0.35,0.14650638617580763,12726.763832425344
S_band3,3.6,22.5,0.08,7.5,0.63,0.25925925925925924,0.8544252441773101,13231.153889448362
C_band,4.0,22.5,0.075,8.0,0.5,0.23333333333333334,1.172051089406461,8225.61147464575
X_band1,8.0,10.0,0.05,12.0,0.7,0.2625,0.27,0.0009850618687046765
X_band2,8.0,15.0,0.1,14.0,0.82,0.175,0.27,93.74590453415132
