Communication_Communication band,Communication_Frequency [GHz],Communication_Beamwidth [deg],Communication_D_r [m],Communication_Required Eb/N0 [dB],Communication_Efficiency,Communication_D_antenna [m],Communication_Mass_communication [kg],Communication_Data Rate [bps],OBC_cpu_DMIPS,OBC_cpu_power_idle,OBC_power max,OBC_cpu efficiency,OBC_recovery rate,OBC_Throughtput per W,OBC_Mass_OBC,SolarArray_Solar Material,SolarArray_Efficiency,SolarArray_Specific Power [W/kg],SolarArray_A_solar [m^2],SolarArray_P_solar_max [W],SolarArray_Mass_solar_array [kg],Battery_Battery type,Battery_Number of cell,Battery_Diameter [m],Battery_Length [m],Battery_Volumetric Energy [Wh/m³],Battery_Specific Energy [Wh/kg],Battery_Capacity [Wh],Battery_Mass_battery [kg],Radiator_Radiator material,Radiator_A_radiator [m2],Radiator_rho [kg/m³],Radiator_emissivity,Radiator_thickness [m],Radiator_Q_rad [W/K⁴],Radiator_Mass_radiator [kg],CubeSat mass,score_4orbits,score_8orbits,score_15orbits,subscore_4_Power,subscore_4_Thermal,subscore_4_OBC,subscore_4_Comm,subscore_4_Payload,subscore_8_Power,subscore_8_Thermal,subscore_8_OBC,subscore_8_Comm,subscore_8_Payload,subscore_15_Power,subscore_15_Thermal,subscore_15_OBC,subscore_15_Comm,subscore_15_Payload
UHF2,0.8,75.0,0.1,12.0,0.57,0.35,0.624,22319.847604127903,100,0.3,0.9,10000.0,2.0,300000.0,0.045,Polyimide1,0.28,50.0,0.03,11.4828,0.229656,Li-polymer,3,0.018,0.065,169500,119.0,8.410836785804907,0.0706793007210496,Aluminizedkapton_0.5mil,0.03,1420,0.55,0.0005,9.3555e-10,0.0213,0.9906353007210498,8.00851865692668,7.519804305230965,7.388095538047508,0.8793844863669791,0.9998112551709835,0.6343356886131382,0.9083052152934956,0.6502991452991453,0.8774935784505399,0.9998112551709835,0.4574203509676753,0.9212016232391609,0.6504299754299754,0.8766007700453894,0.9998112551709835,0.40794386186512155,0.9464476028641899,0.6504975517295846
L_band2,1.7,45.0,0.075,13.0,0.55,0.2745098039215686,0.16552587890625,14142.198843223963,500,1.5,3.0,20000.0,3.0,500000.0,0.075,Polyimide1,0.28,50.0,0.03,11.4828,0.229656,NiH2_single,3,0.018,0.065,85500,57.0,4.242634484875041,0.0744321839451761,Whitepaints_ZOT,0.03,1300,0.91,0.002,1.5479099999999999e-09,0.078,0.6226140628514262,7.098551082452136,6.515803662424693,6.218648269662862,0.6609567781988989,0.6502636076192249,0.7123581976734452,0.9052623121895633,0.6502991452991453,0.6637156154280739,0.5040298113229285,0.6150016760164783,0.8776570396908243,0.6504299754299754,0.6613327343668209,0.42092774051903203,0.6047675507032206,0.8492161658320394,0.6504975517295846
X_band2,8.0,15.0,0.1,14.0,0.82,0.175,0.27,93.74590453415132,16,0.1,0.3,5000.0,1.0,200000.0,0.035,CFRP_substrate1,0.15,69.0,0.03,6.1515,0.0891521739130434,LiIon_21700,3,0.018,0.065,228500,190.4,11.338502687648504,0.0595509594939522,Maxorb,0.03,2100,0.1,0.0015,1.7009999999999999e-10,0.0945,0.5482031334069958,5.148513311058059,4.537337289911454,4.190523576874719,0.9103643419591676,0.5174558518430229,0.42874601637937637,0.571878208139456,0.31319658119658117,0.9086792279666074,0.4285877962874673,0.3925040431957495,0.40651122613009083,0.3094840294840295,0.9089433353546684,0.38487393611663573,0.34753580311069054,0.3486270501534497,0.3048775864792292
S_band3,3.6,22.5,0.08,7.5,0.63,0.2592592592592592,0.8544252441773101,13231.153889448362,160,0.4,1.2,12000.0,2.5,400000.0,0.05,Polyimide1,0.28,50.0,0.03,11.4828,0.229656,NiH2_single,3,0.018,0.065,85500,57.0,4.242634484875041,0.0744321839451761,Aluminizedkapton_2mil,0.03,1420,0.75,0.002,1.2757499999999999e-09,0.0852,1.2937134281224865,7.870228319201909,7.177023533473887,6.5837981788553455,0.8146638860810952,0.8735089133456497,0.7210508497914281,0.9049233123622638,0.6502991452991453,0.8137749098251955,0.6394556726049091,0.6165115225973447,0.9125682730795868,0.6504299754299754,0.8114516257520076,0.4302936389983567,0.5871911040225273,0.927534031243942,0.6504975517295846
L_band1,1.35,60.0,0.09,9.0,0.62,0.2592592592592592,0.0828934936523437,50122.333674452246,16,0.1,0.3,5000.0,1.0,200000.0,0.035,FlexiblePV,0.3,100.0,0.03,12.303,0.1230299999999999,NiH2_individual,3,0.021,0.07,64500,43.0,4.691454192339331,0.1091035858683565,Aluminizedkapton_0.5mil,0.03,1420,0.55,0.0005,9.3555e-10,0.0213,0.3713270795207002,6.319215867882799,5.674691663797801,5.289104884018693,0.8616991251548881,0.7896081593419775,0.5091588242517429,0.8055177405081972,0.36109401709401706,0.8601699527357558,0.7013535297123478,0.4066694304547696,0.6640880067061814,0.36117936117936117,0.8581455045713171,0.6027087566165825,0.3065287107374322,0.7227828482889846,0.3612130785026062
S_band1,2.4,30.0,0.1,11.0,0.71,0.2916666666666667,0.2531630353117955,33378.25204760728,225,0.2,1.0,15000.0,1.5,600000.0,0.04,CFRP_substrate2,0.185,84.0,0.03,7.586849999999999,0.0903196428571428,NiH2_individual,3,0.021,0.07,64500,43.0,4.691454192339331,0.1091035858683565,Aluminizedkapton_2mil,0.03,1420,0.75,0.002,1.2757499999999999e-09,0.0852,0.5777862640372949,4.594139222643368,4.186648570389503,3.967149550528921,0.8805070283935112,0.45119627709118193,0.2572019300551779,0.5335458337881838,0.37538461538461537,0.8789072529335289,0.41040461042451526,0.25530340474214824,0.3943668613852838,0.3541769041769042,0.8789553821811759,0.39033934398367254,0.25272932058679953,0.34564939655085103,0.3278628968567367
C_band,4.0,22.5,0.075,8.0,0.5,0.2333333333333333,1.172051089406461,8225.61147464575,16,0.1,0.3,5000.0,1.0,200000.0,0.035,Additive_manufacture_substrate,0.199,53.6,0.03,8.16099,0.1522572761194029,NiCd,3,0.018,0.065,54000,30.0,2.6795586220263417,0.0893186207342113,Whitepaints_S13G-LO,0.03,1300,0.85,0.003,1.4458499999999995e-09,0.117,1.5656269862600751,5.753804115626135,4.917825602777772,4.403456115593885,0.8619538243598195,0.5917872954675694,0.5499378163945551,0.6802151356005677,0.3304957264957265,0.8608847203322,0.48080812880090273,0.47960461476089267,0.4501137478224119,0.3219164619164619,0.8606796991172003,0.4262178967629204,0.39233647697236157,0.3695702858762671,0.31127152108671613
UHF2,0.8,75.0,0.1,12.0,0.57,0.35,0.624,22319.847604127903,16,0.1,0.3,5000.0,1.0,200000.0,0.035,Triple_junction_GaAs,0.22,46.0,0.03,9.0222,0.1961347826086956,LiSO2,3,0.021,0.07,144000,90.0,10.473944243362228,0.1163771582595803,Whitepaints_Z93,0.03,1300,0.92,0.001,1.5649199999999996e-09,0.039,1.010511940868276,4.785817089292231,4.346696993407676,4.125907614627912,0.9073143887358016,0.4676535736779551,0.339183604169293,0.556988927288733,0.31319658119658117,0.905983419528759,0.4186859810853625,0.3281382486398702,0.4028033426394316,0.3094840294840295,0.9060883199148095,0.3945990076266412,0.31443281274869517,0.3488330433302502,0.3048775864792292
X_band2,8.0,15.0,0.1,14.0,0.82,0.175,0.27,93.74590453415132,60,0.25,0.7,6000.0,1.2,300000.0,0.038,Polyimide2,0.148,75.0,0.03,6.06948,0.0809264,LiSO2,3,0.021,0.07,144000,90.0,10.473944243362228,0.1163771582595803,Aluminizedkapton_5mil,0.03,1420,0.86,0.005,1.4628599999999996e-09,0.213,0.7183035582595803,4.758810356011241,4.352626543595585,4.063676983142191,0.9073351455780939,0.4461927199625615,0.37846258759625245,0.4243286467826338,0.37538461538461537,0.9055071227120557,0.40793114588848745,0.34245008507162744,0.3487070909527284,0.3541769041769042,0.9059366667069679,0.3891104224177866,0.2975483989861352,0.3222369250701719,0.3278628968567367
VHF,0.3,60.0,0.1,8.0,0.59,1.1666666666666667,0.0329062499999999,74132.66352746598,250,1.0,2.0,18000.0,2.0,500000.0,0.065,Triple_junction_GaAs,0.22,46.0,0.03,9.0222,0.1961347826086956,LiFePO4,3,0.021,0.07,103000,89.0,7.491779562960483,0.0841772984602301,Aluminizedkapton_1mil,0.03,1420,0.67,0.001,1.1396699999999996e-09,0.0426,0.4208183310689257,6.243336759514312,5.615097403465837,5.1777254724208905,0.8295901906782555,0.6638316069182939,0.3629908382495747,0.7297152512515772,0.6502991452991453,0.8304089760891649,0.5325746624738494,0.3472964076403261,0.5587442883248481,0.6504299754299754,0.8304648622683573,0.45544532051486186,0.24813575469589869,0.6095405184044623,0.6504975517295846
C_band,4.0,22.5,0.075,8.0,0.5,0.2333333333333333,1.172051089406461,8225.61147464575,225,0.2,1.0,15000.0,1.5,600000.0,0.04,CFRP_substrate2,0.185,84.0,0.03,7.586849999999999,0.0903196428571428,LiIon_18650,3,0.018,0.065,184500,155.1,9.155158625256668,0.059027457287277,Aluminizedmylar,0.03,1500,0.34,0.00025,5.7834e-10,0.01125,1.372648189550881,8.333393507465367,8.193844143543702,8.166834801311113,0.8902264813281016,0.9999088129923734,0.768808886280238,0.9030607500297154,0.6502991452991453,0.8884398011452278,0.9999088129923734,0.7041300898548,0.9078135083397658,0.6504299754299754,0.8879154302242009,0.999905975193601,0.6859104844701307,0.9171174974787377,0.6504975517295846
X_band2,8.0,15.0,0.1,14.0,0.82,0.175,0.27,93.74590453415132,60,0.25,0.7,6000.0,1.2,300000.0,0.038,Polyimide2,0.148,75.0,0.03,6.06948,0.0809264,NiCd,3,0.018,0.065,54000,30.0,2.6795586220263417,0.0893186207342113,Whitepaints_S13G-LO,0.03,1300,0.85,0.003,1.4458499999999995e-09,0.117,0.5952450207342114,4.661841154848262,4.271858063062558,3.9915821624681334,0.8335451565795282,0.43818393269667094,0.37846258759625245,0.4243286467826338,0.37538461538461537,0.8327847674815809,0.40389921047444866,0.34245008507162744,0.3487070909527284,0.3541769041769042,0.8328183471380806,0.3870346853776763,0.2975483989861352,0.3222369250701719,0.3278628968567367
S_band3,3.6,22.5,0.08,7.5,0.63,0.2592592592592592,0.8544252441773101,13231.153889448362,90,0.4,1.1,7000.0,1.5,300000.0,0.042,PCB1,0.18,95.0,0.03,7.381799999999999,0.0777031578947368,LiIon_18650,3,0.018,0.065,184500,155.1,9.155158625256668,0.059027457287277,Aluminizedkapton_0.5mil,0.03,1420,0.55,0.0005,9.3555e-10,0.0213,1.054455859359324,7.977252352880186,7.106987334404024,6.284551409946825,0.8827530025561503,0.8624546727661657,0.7210513779681467,0.9049233123622638,0.6502991452991453,0.8817109996133436,0.5619454135069064,0.616511815283701,0.9125682730795868,0.6504299754299754,0.8815120989857835,0.31389757120552386,0.5871913703265337,0.927534031243942,0.6504975517295846
L_band2,1.7,45.0,0.075,13.0,0.55,0.2745098039215686,0.16552587890625,14142.198843223963,1000,1.5,2.5,25000.0,4.0,600000.0,0.12,Polyimide1,0.28,50.0,0.03,11.4828,0.229656,LiSOCl2,3,0.021,0.07,176000,110.0,12.801487408553836,0.1163771582595803,Astroquartz,0.03,2000,0.8,0.0015,1.3607999999999999e-09,0.09,0.7215590371658304,7.953566412483366,7.493580058346677,7.161025252989832,0.8574421586669766,0.885153694633959,0.7123581805895693,0.9052623121895633,0.6502991452991453,0.8583754269896076,0.7714939724117368,0.6005641137125279,0.9134336746811784,0.6504299754299754,0.8593162074089797,0.6367633392401045,0.5692232861826161,0.929429915792749,0.6504975517295846
UHF1,0.5,60.0,0.08,10.0,0.51,0.7,0.15234375,25876.622507867574,60,0.25,0.7,6000.0,1.2,300000.0,0.038,Polyimide1,0.28,50.0,0.03,11.4828,0.229656,LiIon_21700,3,0.018,0.065,228500,190.4,11.338502687648504,0.0595509594939522,Astroquartz,0.03,2000,0.8,0.0015,1.3607999999999999e-09,0.09,0.5695507094939523,5.730262585777057,5.255427843145077,4.998384341716722,0.9034792892105805,0.5244347813327372,0.3640799353464603,0.754477288225311,0.47470085470085466,0.8955558381148011,0.3499880220734779,0.36318210255506134,0.6718099264801697,0.5242321867321866,0.8910154798666883,0.2634848628149156,0.3686410088703705,0.6694582613924986,0.5384931290475439
S_band1,2.4,30.0,0.1,11.0,0.71,0.2916666666666667,0.2531630353117955,33378.25204760728,140,0.6,1.5,8000.0,2.0,400000.0,0.058,CFRP_substrate1,0.15,69.0,0.03,6.1515,0.0891521739130434,LiFePO4,3,0.021,0.07,103000,89.0,7.491779562960483,0.0841772984602301,Aluminizedmylar,0.03,1500,0.34,0.00025,5.7834e-10,0.01125,0.4957425076850691,7.69444646781306,6.994332767670856,6.764886726802091,0.8633242417043426,0.9997832598017031,0.5438927076017441,0.8834473997041075,0.6502991452991453,0.8636451048479411,0.9997832598017031,0.3601386093008284,0.8275991701217731,0.6504299754299754,0.8642041290984962,0.999772674831032,0.29082836214193375,0.866767505708328,0.6504975517295846
S_band2,2.0,30.0,0.1,15.0,0.68,0.35,0.1465063861758076,12726.763832425344,100,0.3,0.9,10000.0,2.0,300000.0,0.045,PCB2,0.174,100.0,0.03,7.135739999999999,0.0713573999999999,Li-polymer,3,0.018,0.065,169500,119.0,8.410836785804907,0.0706793007210496,Aluminizedteflon_2mil,0.03,2200,0.78,0.002,1.3267799999999996e-09,0.132,0.4655430868968573,4.716437190772256,4.30787807914048,4.035162205884656,0.8979869990597368,0.4386292325777986,0.34774440845965715,0.4539061113933021,0.37538461538461537,0.8962682511964686,0.40408062146668755,0.32037381962545197,0.36102204735838583,0.3541769041769042,0.896593407164037,0.3870862904242645,0.2861946923819108,0.328509405217295,0.3278628968567367
L_band2,1.7,45.0,0.075,13.0,0.55,0.2745098039215686,0.16552587890625,14142.198843223963,16,0.1,0.3,5000.0,1.0,200000.0,0.035,PCB1,0.18,95.0,0.03,7.381799999999999,0.0777031578947368,LiFe_21700,3,0.021,0.07,69730,57.75,5.071862028400334,0.0878244507082308,Quartzmirror,0.03,1333,0.8,0.008,1.3607999999999999e-09,0.31992,0.6859734875092178,4.7368862131526885,4.3399367490724465,4.116038378430539,0.89341523961052,0.45218839187565607,0.38763054035027933,0.48624706999651984,0.31319658119658117,0.8919963458240339,0.41091987335713753,0.3629555951598882,0.3739426842309663,0.3094840294840295,0.8920058309207849,0.3906200452952068,0.3323391913498606,0.33463225629902443,0.3048775864792292
