Unnamed: 0,Communication_Communication band,Communication_Frequency [GHz],Communication_Beamwidth [deg],Communication_D_r [m],Communication_Required Eb/N0 [dB],Communication_Efficiency,Communication_D_antenna [m],Communication_Mass_communication [kg],Communication_Data Rate [bps],OBC_cpu_DMIPS,OBC_cpu_power_idle,OBC_power max,OBC_cpu efficiency,OBC_recovery rate,OBC_Throughtput per W,OBC_Mass_OBC,SolarArray_Solar Material,SolarArray_Efficiency,SolarArray_Specific Power [W/kg],SolarArray_A_solar [m^2],SolarArray_P_solar_max [W],SolarArray_Mass_solar_array [kg],Battery_Battery type,Battery_Number of cell,Battery_Diameter [m],Battery_Length [m],Battery_Volumetric Energy [Wh/m³],Battery_Specific Energy [Wh/kg],Battery_Capacity [Wh],Battery_Mass_battery [kg],Radiator_Radiator material,Radiator_A_radiator [m2],Radiator_rho [kg/m³],Radiator_emissivity,Radiator_thickness [m],Radiator_Q_rad [W/K⁴],Radiator_Mass_radiator [kg],CubeSat mass,score_4orbits,score_8orbits,score_15orbits,subscore_4_Power,subscore_4_Thermal,subscore_4_OBC,subscore_4_Comm,subscore_4_Payload,subscore_8_Power,subscore_8_Thermal,subscore_8_OBC,subscore_8_Comm,subscore_8_Payload,subscore_15_Power,subscore_15_Thermal,subscore_15_OBC,subscore_15_Comm,subscore_15_Payload
0,VHF,0.3,60.0,0.1,8.0,0.59,1.1666666666666667,0.0329062499999999,74132.66352746598,100,0.3,0.9,10000.0,2.0,300000.0,0.045,Polyimide1,0.28,50.0,0.03,11.4828,0.229656,NiCd,3,0.018,0.065,54000,30.0,2.6795586220263417,0.0893186207342113,Quartzmirror,0.03,1333,0.8,0.008,1.3607999999999999e-09,0.31992,0.7168008707342115,5.266485898102399,4.845583608718787,4.370587558154805,0.7994173489262625,0.5641565076331186,0.2754294571190012,0.6198809948743863,0.5261538461538462,0.7891423769005753,0.3613972483738594,0.347776860557944,0.47991476313292836,0.5612100737100737,0.7650732156734213,0.2621348296926814,0.2580514771130567,0.536967569286692,0.5738745853735587
100,VHF,0.3,60.0,0.1,8.0,0.59,1.1666666666666667,0.0329062499999999,74132.66352746598,100,0.3,0.9,10000.0,2.0,300000.0,0.045,Polyimide1,0.28,50.0,0.03,11.4828,0.229656,LiSO2,3,0.021,0.07,144000,90.0,10.473944243362228,0.1163771582595803,Whitepaints_chemglazeA276,0.03,1300,0.88,0.001,1.49688e-09,0.039,0.4629394082595803,4.762026781605043,4.238661512097001,3.78878980948367,0.9001155138670337,0.44465367190236676,0.2487869808787445,0.5384319222107801,0.4567521367521368,0.8974959652031652,0.2800772830134779,0.2925316986907721,0.41184337362541357,0.45178132678132676,0.8919033926342357,0.19716918128686595,0.25884892753985733,0.404565780653097,0.42394566419207075
200,VHF,0.3,60.0,0.1,8.0,0.59,1.1666666666666667,0.0329062499999999,74132.66352746598,100,0.3,0.9,10000.0,2.0,300000.0,0.045,Polyimide1,0.28,50.0,0.03,11.4828,0.229656,LiIon_18650,3,0.018,0.065,184500,155.1,9.155158625256668,0.059027457287277,Metallic_bareAl,0.03,2700,0.1,0.001,1.7009999999999999e-10,0.081,0.4475897072872771,4.244709284658222,4.023052978524717,3.893829242649218,0.896401341256571,0.3959471458794606,0.2494166396592437,0.4146657335822836,0.37538461538461537,0.894901137071037,0.382641590323905,0.24970832658163405,0.34798318924725524,0.3541769041769042,0.8949641023606089,0.37609663790636083,0.24985180131967416,0.3246419872493838,0.3278628968567367
300,VHF,0.3,60.0,0.1,8.0,0.59,1.1666666666666667,0.0329062499999999,74132.66352746598,100,0.3,0.9,10000.0,2.0,300000.0,0.045,Polyimide1,0.28,50.0,0.03,11.4828,0.229656,Li-polymer,3,0.018,0.065,169500,119.0,8.410836785804907,0.0706793007210496,Silveredteflon_2mil,0.03,2100,0.66,0.002,1.12266e-09,0.126,0.5042415507210497,6.382185041408092,5.751402544831232,5.31070676270991,0.879384486294804,0.699045854370032,0.3629910256510077,0.7297152512515772,0.6502991452991453,0.8774935783797811,0.5682125210366985,0.347296523023494,0.5587442883248481,0.6504299754299754,0.8766007699863241,0.48980382006431405,0.24813575469589869,0.6095405184044623,0.6504975517295846
400,VHF,0.3,60.0,0.1,8.0,0.59,1.1666666666666667,0.0329062499999999,74132.66352746598,100,0.3,0.9,10000.0,2.0,300000.0,0.045,Polyimide2,0.148,75.0,0.03,6.06948,0.0809264,NiH2_single,3,0.018,0.065,85500,57.0,4.242634484875041,0.0744321839451761,Blackpaints_chemglazeZ306,0.03,1200,0.89,0.0015,1.5138899999999996e-09,0.054,0.2872648339451761,4.254826523512417,4.0149336343413005,3.876942654114268,0.8653433140718387,0.4150694838112543,0.2494166396592437,0.4146657335822836,0.37538461538461537,0.8643642399362034,0.39217828010755057,0.24970832658163405,0.34798318924725524,0.3541769041769042,0.8646408227670601,0.3809181836466782,0.24985180131967416,0.3246419872493838,0.3278628968567367
500,VHF,0.3,60.0,0.1,8.0,0.59,1.1666666666666667,0.0329062499999999,74132.66352746598,100,0.3,0.9,10000.0,2.0,300000.0,0.045,Polyimide2,0.148,75.0,0.03,6.06948,0.0809264,NaS,3,0.046,0.08,399000,210.0,159.14378471660427,0.7578275462695442,Metallic_VDG,0.03,8400,0.03,0.001,5.102999999999999e-11,0.252,1.1686601962695442,4.870145427378148,4.3958266392887175,4.087765012936352,0.8980324312463063,0.5949817423611874,0.30353033784687217,0.4146657335822836,0.40739316239316237,0.8980577788415866,0.4824099831019282,0.2886520312617614,0.34798318924725524,0.37718058968058965,0.8980494715269545,0.4270363607954576,0.26988110395315323,0.3246419872493838,0.3396935713157479
600,VHF,0.3,60.0,0.1,8.0,0.59,1.1666666666666667,0.0329062499999999,74132.66352746598,100,0.3,0.9,10000.0,2.0,300000.0,0.045,Polyimide2,0.148,75.0,0.03,6.06948,0.0809264,LiFePO4,3,0.021,0.07,103000,89.0,7.491779562960483,0.0841772984602301,Silveredteflon_5mil,0.03,2100,0.78,0.005,1.3267799999999996e-09,0.315,0.5580099484602301,4.338903131081076,4.070283310210256,3.9180798037993876,0.895685853205263,0.44222573752616356,0.2494166396592437,0.4146657335822836,0.37538461538461537,0.8942697672547725,0.4059224967854228,0.24970832658163405,0.34798318924725524,0.3541769041769042,0.894710201538202,0.3880650700692875,0.24985180131967416,0.3246419872493838,0.3278628968567367
700,VHF,0.3,60.0,0.1,8.0,0.59,1.1666666666666667,0.0329062499999999,74132.66352746598,100,0.3,0.9,10000.0,2.0,300000.0,0.045,CFRP_substrate1,0.15,69.0,0.03,6.1515,0.0891521739130434,NiH2_common,3,0.046,0.08,84000,56.0,33.50395467717985,0.5982849049496402,Blackpaints_3Mblackvelvet,0.03,1200,0.84,0.002,1.4288399999999996e-09,0.072,0.8373433288626837,4.38819947852454,4.1029742604548085,3.942685957556474,0.9150015368844631,0.45804689347250993,0.2494166396592437,0.4146657335822836,0.37538461538461537,0.9128624208910733,0.41388254162065813,0.24970832658163405,0.34798318924725524,0.3541769041769042,0.9135243206540695,0.3921582641025081,0.24985180131967416,0.3246419872493838,0.3278628968567367
800,VHF,0.3,60.0,0.1,8.0,0.59,1.1666666666666667,0.0329062499999999,74132.66352746598,100,0.3,0.9,10000.0,2.0,300000.0,0.045,CFRP_substrate1,0.15,69.0,0.03,6.1515,0.0891521739130434,LiSOCl2,3,0.021,0.07,176000,110.0,12.801487408553836,0.1163771582595803,Metallic_anodizedAl,0.03,2750,0.88,0.002,1.49688e-09,0.165,0.4484355821726238,4.321404984534806,4.067035176061957,3.922199296922379,0.9102302084652274,0.42645533924775925,0.2494166396592437,0.4146657335822836,0.37538461538461537,0.9084865885105217,0.39797848739590735,0.24970832658163405,0.34798318924725524,0.3541769041769042,0.9090140756558391,0.3839708317520958,0.24985180131967416,0.3246419872493838,0.3278628968567367
900,VHF,0.3,60.0,0.1,8.0,0.59,1.1666666666666667,0.0329062499999999,74132.66352746598,100,0.3,0.9,10000.0,2.0,300000.0,0.045,CFRP_substrate1,0.15,69.0,0.03,6.1515,0.0891521739130434,LiFe_21700,3,0.021,0.07,69730,57.75,5.071862028400334,0.0878244507082308,Aluminizedteflon_2mil,0.03,2200,0.78,0.002,1.3267799999999996e-09,0.132,0.3868828746212743,4.294014432426513,4.039611330930553,3.894465785231664,0.8768135887690478,0.4288547110687001,0.2494166396592437,0.4146657335822836,0.37538461538461537,0.875657035870027,0.3991648962538853,0.24970832658163405,0.34798318924725524,0.3541769041769042,0.875982126064793,0.384560588719539,0.24985180131967416,0.3246419872493838,0.3278628968567367
